label,id,vote,verified,review_len,summary_len
1,1,0,0,55,5
0,2,0,0,11,5
1,3,2,0,47,23
1,4,5,0,204,21
1,5,5,0,112,13
0,6,0,0,121,8
1,7,3,0,383,17
0,8,5,0,2112,67
1,9,0,0,249,8
0,10,0,0,124,11
1,11,3,0,437,41
1,12,0,0,340,6
1,13,4,0,150,15
1,14,0,0,189,19
1,15,10,0,71,22
1,16,7,0,54,21
0,17,2,0,227,11
1,18,5,0,170,31
1,19,6,0,110,20
1,20,7,0,609,26
0,21,3,0,873,39
1,22,2,0,69,17
1,23,5,0,36,4
1,24,0,0,90,16
1,25,7,0,131,15
1,26,0,0,164,31
0,27,2,0,144,16
0,28,8,0,326,38
1,29,4,0,165,18
1,30,0,0,197,24
0,31,2,0,174,15
1,32,2,0,700,15
0,33,0,0,257,39
1,34,0,0,82,29
0,35,0,0,372,14
0,36,0,0,201,12
0,37,4,0,366,27
0,38,0,0,130,37
1,39,3,0,105,40
0,40,6,0,582,21
1,41,4,0,12,12
1,42,4,0,53,31
0,43,3,0,1069,45
0,44,2,0,576,34
0,45,6,0,2425,17
1,46,0,0,259,61
0,47,0,0,171,11
0,48,2,0,164,15
1,49,4,0,347,29
1,50,0,0,81,21
0,51,4,0,203,11
1,52,2,0,222,17
1,53,0,0,165,17
0,54,6,0,230,13
0,55,0,0,108,13
1,56,0,0,219,86
1,57,0,0,72,21
1,58,0,0,403,4
0,59,0,0,52,33
1,60,0,0,144,29
1,61,0,0,309,44
1,62,0,0,494,53
0,63,7,0,484,29
1,64,0,0,538,57
1,65,2,0,214,41
1,66,0,0,65,10
1,67,0,0,138,23
1,68,0,0,114,22
1,69,0,0,256,12
1,70,0,0,292,31
1,71,0,0,45,12
1,72,0,0,142,12
1,73,0,0,599,39
0,74,0,0,748,56
1,75,35,0,731,31
1,76,0,0,21,15
0,77,0,0,249,53
1,78,14,0,636,12
1,79,0,0,48,3
0,80,0,0,488,18
1,81,0,0,213,16
1,82,7,0,785,34
1,83,0,0,45,11
0,84,5,0,1229,62
1,85,0,0,316,18
1,86,3,0,721,38
1,87,0,0,1453,93
0,88,3,0,2582,58
0,89,0,0,36,34
1,90,2,0,29,13
1,91,8,0,775,30
1,92,0,0,388,21
1,93,0,0,57,13
1,94,0,0,85,17
1,95,0,0,49,9
1,96,0,0,32,19
1,97,0,0,19,23
1,98,0,0,46,13
1,99,0,0,47,27
1,100,0,0,56,8
1,101,0,0,57,15
0,102,4,0,516,47
1,103,0,0,193,70
0,104,2,0,139,12
1,105,4,0,704,62
1,106,0,0,85,43
1,107,3,0,42,12
1,108,0,0,329,47
1,109,3,0,243,20
1,110,0,0,307,43
1,111,0,0,62,12
1,112,0,0,71,49
0,113,0,0,53,33
0,114,0,0,138,9
1,115,0,0,69,21
1,116,0,0,280,11
1,117,4,0,79,20
1,118,0,0,116,13
1,119,4,0,364,12
1,120,2,0,99,17
1,121,0,0,380,86
1,122,2,0,83,26
1,123,0,0,13,13
1,124,0,0,45,14
1,125,0,0,180,72
1,126,0,0,45,10
1,127,0,0,66,27
1,128,0,0,185,21
1,129,2,0,128,25
0,130,0,0,162,34
1,131,0,0,465,26
1,132,0,0,402,26
1,133,2,0,67,14
1,134,2,0,188,31
0,135,2,0,229,13
0,136,0,0,704,43
1,137,0,0,123,17
1,138,0,0,217,44
1,139,0,0,85,8
1,140,2,0,45,13
1,141,2,0,131,16
1,142,3,0,370,50
1,143,2,0,98,9
1,144,0,0,171,38
1,145,4,0,317,12
0,146,4,0,239,11
1,147,3,0,37,14
1,148,3,0,62,14
1,149,2,0,24,11
1,150,3,0,214,18
0,151,0,0,60,11
0,152,6,0,290,14
1,153,0,0,1614,64
0,154,7,0,1310,21
1,155,2,0,249,32
1,156,0,0,274,12
1,157,4,0,330,24
0,158,0,0,1127,55
0,159,6,0,788,31
1,160,0,0,226,5
0,161,2,0,163,15
1,162,0,0,185,17
1,163,3,0,338,73
0,164,3,0,2100,57
0,165,2,0,134,32
0,166,2,0,256,8
0,167,2,0,130,26
0,168,8,0,324,17
1,169,18,0,2226,46
0,170,0,0,34,35
0,171,0,0,30,9
0,172,0,0,61,24
0,173,0,0,29,3
0,174,0,0,37,9
0,175,0,0,31,8
1,176,0,0,47,11
0,177,2,0,8,8
0,178,3,0,3,13
0,179,9,0,71,9
1,180,2,0,34,5
1,181,5,0,99,7
1,182,2,0,95,32
0,183,7,0,116,37
1,184,4,0,198,15
0,185,9,0,379,21
0,186,23,0,1306,70
1,187,8,0,96,26
0,188,9,0,289,21
1,189,3,0,72,12
0,190,2,0,41,37
0,191,2,0,127,14
0,192,3,0,56,9
1,193,0,0,45,11
1,194,2,0,692,36
1,195,0,0,343,22
0,196,4,0,773,65
0,197,0,0,1715,68
0,198,3,0,187,17
1,199,0,0,142,9
0,200,0,0,16,5
0,201,4,0,132,17
0,202,4,0,126,11
1,203,5,0,241,60
1,204,2,0,59,3
0,205,3,0,112,33
1,206,0,0,51,13
1,207,0,0,99,46
1,208,5,0,94,9
0,209,3,0,49,32
0,210,10,0,169,26
1,211,0,0,1489,44
1,212,0,0,89,36
0,213,4,0,63,10
1,214,3,0,53,12
0,215,8,0,84,11
1,216,3,0,83,32
0,217,4,0,115,5
0,218,2,0,26,4
0,219,3,0,43,23
0,220,3,0,121,5
0,221,3,0,135,28
1,222,0,0,19,19
1,223,0,0,1017,59
0,224,22,0,149,14
0,225,3,0,97,20
0,226,37,0,1152,32
1,227,0,0,66,13
1,228,0,0,81,12
1,229,0,0,42,18
1,230,0,0,82,27
1,231,0,0,108,9
1,232,0,0,259,11
1,233,3,0,151,45
0,234,8,0,255,25
0,235,3,0,11,9
0,236,2,0,33,15
1,237,3,0,116,19
1,238,0,0,1312,123
1,239,5,0,845,47
1,240,0,0,20,11
0,241,3,0,53,11
1,242,2,0,58,11
1,243,2,0,81,26
1,244,2,0,162,37
0,245,0,0,90,11
1,246,2,0,254,68
0,247,3,0,160,10
0,248,17,0,833,60
0,249,23,0,341,5
0,250,2,0,165,14
0,251,4,0,204,19
0,252,2,0,76,9
0,253,0,0,112,14
0,254,3,0,123,31
1,255,0,0,51,10
0,256,0,0,116,24
1,257,0,0,13,33
0,258,3,0,1334,55
0,259,5,0,67,10
1,260,6,0,258,5
0,261,4,0,90,8
0,262,6,0,229,23
0,263,3,0,44,13
0,264,3,0,89,16
0,265,0,0,26,9
0,266,5,0,183,16
